Wall time,Step,Value
1686366151.8991375,96,-353.8692626953125
1686366427.6473548,192,-302.1222839355469
1686366705.100975,288,-310.49267578125
1686366980.8563614,384,-268.24505615234375
1686367261.1626573,480,-301.4743957519531
1686367545.630785,576,-292.3409118652344
1686367832.0797467,672,-318.3171691894531
1686368122.6940212,768,-318.2325439453125
1686368415.488264,864,-334.5964050292969
1686368714.8764043,960,-356.2400207519531
1686369008.1869326,1056,-310.3237609863281
1686369248.847897,1152,-311.26373291015625
1686369485.1178432,1248,-339.37042236328125
1686369723.3135986,1344,-317.1700134277344
1686369961.7836642,1440,-322.32635498046875
1686370197.7671533,1536,-330.6989440917969
1686370439.3084915,1632,-336.7046813964844
1686370683.559274,1728,-328.42559814453125
1686370928.378461,1824,-316.507568359375
1686371189.4244695,1920,-303.3101806640625
1686371441.444334,2016,-299.3692321777344
1686371684.5554442,2112,-309.8043518066406
1686371925.2055418,2208,-281.31817626953125
1686372173.2407713,2304,-307.3239440917969
1686372418.1124313,2400,-318.1547546386719
1686372665.064446,2496,-289.70367431640625
1686372911.7011065,2592,-287.7961730957031
1686373173.5415144,2688,-305.0452575683594
1686373425.5828485,2784,-347.5331115722656
1686373665.6198351,2880,-317.53082275390625
1686373910.3618014,2976,-314.1441345214844
1686374153.2231636,3072,-342.7076416015625
1686374393.7602906,3168,-304.4609069824219
1686374639.1413147,3264,-315.35357666015625
1686374884.3304074,3360,-319.1286926269531
1686375132.8985205,3456,-304.0343322753906
1686375375.9881015,3552,-296.87255859375
1686375623.0905983,3648,-321.8505859375
1686375869.147872,3744,-308.1253356933594
1686376110.2399902,3840,-299.2999267578125
1686376351.7621381,3936,-298.245849609375
1686376590.8365097,4032,-314.9212341308594
1686376835.0959897,4128,-305.9544372558594
1686377082.587576,4224,-307.940673828125
1686377330.5516803,4320,-286.375
1686377572.8014803,4415,-302.9453125
1686377819.4974048,4511,-256.0601501464844
1686378061.0876765,4607,-291.3461608886719
1686378300.201644,4703,-280.61907958984375
1686378540.265748,4799,-247.09950256347656
1686378788.1361709,4895,-279.0987243652344
1686379031.6930299,4991,-312.23260498046875
1686379276.5082383,5087,-223.8611297607422
1686379526.114753,5183,-210.54847717285156
1686379765.519596,5279,-207.83399963378906
1686380007.3331366,5375,-231.63861083984375
1686380248.3037376,5471,-236.1053466796875
1686380483.6404366,5567,-246.68955993652344
1686380721.2217698,5663,-238.87403869628906
1686380961.8325334,5759,-217.0062713623047
1686381200.108059,5855,-229.70933532714844
1686381437.8458052,5951,-255.4930877685547
1686381676.8237247,6047,-275.5837097167969
1686381914.8433623,6143,-290.34698486328125
1686382154.8231397,6239,-278.66754150390625
1686382391.9879582,6335,-276.5796813964844
1686382625.3985405,6431,-258.6949768066406
1686382864.0104377,6527,-244.58218383789062
1686383099.4461324,6623,-238.92263793945312
1686383335.3228445,6719,-231.7623291015625
1686383575.905807,6815,-226.43020629882812
1686383816.6304553,6911,-280.80499267578125
1686384049.733879,7007,-241.34681701660156
1686384281.3648,7103,-247.88369750976562
1686384520.6412892,7199,-260.1025695800781
1686384758.8487272,7295,-284.587158203125
1686384999.832431,7391,-324.01025390625
1686385235.043793,7487,-343.2157287597656
1686385471.4202821,7583,-336.7784729003906
1686385710.0129654,7679,-311.1872253417969
1686385950.0365348,7775,-302.2144470214844
1686386183.6839619,7871,-311.6617126464844
1686386422.3112407,7967,-299.1681823730469
1686386661.314688,8063,-311.86041259765625
1686386900.147405,8159,-304.61932373046875
1686387133.7807715,8255,-302.28033447265625
1686387363.4923916,8351,-274.5352783203125
1686387601.9165733,8447,-261.99285888671875
1686387839.138663,8543,-287.3699951171875
1686388074.3097687,8639,-250.81825256347656
1686388313.0692837,8735,-257.3046569824219
1686388553.732546,8831,-246.8391876220703
1686388792.3588746,8927,-227.61798095703125
1686389027.6061668,9023,-226.08544921875
1686389259.0906115,9119,-220.58676147460938
1686389500.958644,9215,-227.06031799316406
1686389734.052491,9311,-221.00277709960938
1686389968.9178426,9407,-236.89901733398438
1686390212.4186692,9503,-266.1459655761719
1686390450.7320004,9599,-278.2560729980469
1686390685.9077797,9695,-312.20599365234375
1686390923.5035322,9791,-332.91448974609375
1686391154.59427,9887,-306.72589111328125
1686391393.0979657,9983,-262.0938415527344
