Wall time,Step,Value
1686514867.2010918,60077,-45.33467102050781
1686515116.1213176,60173,-43.71561050415039
1686515361.6320114,60269,-63.304561614990234
1686515599.4228373,60365,-47.76752853393555
1686515833.0184236,60461,-53.89744186401367
1686516068.0385747,60557,-64.29419708251953
1686516309.0674791,60653,-43.75349807739258
1686516555.5706983,60749,-31.658662796020508
1686516796.539129,60845,-39.63225173950195
1686517046.6101143,60941,-84.98764038085938
1686517283.5349958,61037,-54.39669418334961
1686517527.1993144,61133,-47.41822814941406
1686517768.2177222,61229,-62.095703125
1686518016.5397177,61325,-44.09539794921875
1686518266.4899333,61421,-54.733741760253906
1686518516.069471,61517,-59.10980224609375
1686518756.9883935,61613,-62.37139892578125
1686519007.1974194,61709,-47.09727478027344
1686519258.950353,61805,-69.57272338867188
1686519500.2992337,61901,-49.912010192871094
1686519747.2284486,61997,-53.184417724609375
1686519994.1140363,62093,-69.38153076171875
1686520243.3032317,62189,-58.05685043334961
1686520486.9104083,62285,-55.78791046142578
1686520740.7598546,62381,-58.53669738769531
1686520990.581419,62477,-66.47502899169922
1686521243.824384,62573,-54.84276580810547
1686521499.1175773,62669,-54.941673278808594
1686521747.1233852,62765,-81.27581024169922
1686522001.7268858,62861,-35.150047302246094
1686522246.0069387,62957,-38.75624465942383
1686522492.053771,63053,-57.80792999267578
1686522743.9418104,63149,-57.95355224609375
1686522994.9878778,63245,-63.99630355834961
1686523249.9568346,63341,-44.37019729614258
1686523507.486239,63437,-72.33485412597656
1686523756.1335075,63533,-54.56667709350586
1686524001.5450702,63629,-70.8334732055664
1686524240.254978,63725,-83.33411407470703
1686524482.9950573,63821,-60.02117156982422
1686524720.368807,63917,-48.73894500732422
1686524960.6127949,64013,-69.1627197265625
1686525199.6377666,64109,-50.09196472167969
1686525437.704316,64205,-75.52557373046875
1686525672.8793805,64301,-75.74655151367188
1686525907.8516767,64397,-83.6981201171875
1686526145.275733,64493,-61.932029724121094
1686526385.7244534,64589,-55.78797149658203
1686526626.013123,64685,-66.5587387084961
1686526865.0807943,64781,-51.18318557739258
1686527104.260395,64877,-55.34601593017578
1686527337.5055542,64973,-62.680606842041016
1686527576.6317601,65069,-65.91331481933594
1686527811.0840385,65165,-66.18871307373047
1686528045.3692765,65261,-54.32408905029297
1686528284.8673012,65357,-35.37388610839844
1686528525.0558329,65453,-102.10906982421875
1686528766.2275612,65549,-54.79085159301758
1686529003.2860668,65645,-36.45824432373047
1686529222.760582,65732,-41.77223587036133
1686529460.2217472,65828,-67.99234008789062
1686529699.9267867,65924,-42.5095329284668
1686529939.6407628,66020,-65.12669372558594
1686530177.4954548,66116,-57.97602462768555
1686530423.5197783,66212,-37.312686920166016
1686530668.455016,66308,-60.91276168823242
1686530909.7777781,66404,-59.697872161865234
1686531149.930846,66500,-75.06594848632812
1686531385.543072,66596,-82.31317138671875
1686531627.349518,66692,-61.90930938720703
1686531873.438661,66788,-51.902374267578125
1686532122.9000041,66884,-41.44963836669922
1686532368.8085663,66980,-67.80330657958984
1686532612.963131,67076,-55.840938568115234
1686532854.6122727,67172,-63.97658920288086
1686533095.842816,67268,-77.94984436035156
1686533347.1755178,67364,-63.11198425292969
1686533598.046157,67460,-63.12131881713867
1686533845.0959914,67556,-71.02062225341797
1686534095.3288717,67652,-50.355308532714844
1686534351.2094119,67748,-64.67974853515625
1686534601.3237078,67844,-46.527462005615234
1686534837.9071321,67940,-52.30937576293945
1686535074.8072884,68036,-66.08356475830078
1686535309.1791162,68132,-52.69800567626953
1686535550.53872,68228,-56.318267822265625
1686535792.0559466,68324,-60.22001266479492
1686536031.7805908,68420,-45.49646759033203
1686536271.4644723,68516,-69.99433135986328
1686536512.2034972,68612,-52.04740905761719
1686536747.6483948,68708,-53.884674072265625
1686536985.883204,68804,-81.60248565673828
1686537222.8692827,68900,-60.0938835144043
1686537455.214048,68996,-41.240020751953125
1686537687.740023,69092,-41.06084060668945
1686537933.880758,69188,-58.403961181640625
1686538178.9916503,69284,-65.65702819824219
1686538413.1473417,69380,-55.38825988769531
1686538654.8096023,69476,-47.391483306884766
1686538897.429722,69572,-76.37571716308594
1686539134.0807905,69668,-46.407142639160156
1686539372.2274146,69764,-42.26850891113281
1686539613.0971088,69860,-66.71495819091797
1686539853.1316042,69956,-86.604736328125
1686540087.2186577,70052,-61.79917526245117
