Wall time,Step,Value
1686540327.8315876,70148,-52.23188781738281
1686540567.9270532,70244,-42.72224807739258
1686540807.3345914,70340,-31.50935935974121
1686541045.456826,70436,-25.015281677246094
1686541283.475346,70532,-38.91501998901367
1686541517.525406,70628,-50.09319305419922
1686541750.7657404,70724,-59.01284408569336
1686541984.3676946,70820,-64.30650329589844
1686542218.554048,70916,-28.2661075592041
1686542448.9414585,71012,-51.769630432128906
1686542684.4412148,71108,-72.95574188232422
1686542916.938888,71204,-51.38092803955078
1686543147.6134412,71300,-49.3159065246582
1686543381.2043483,71396,-61.1928825378418
1686543611.7868853,71492,-54.701908111572266
1686543858.1092095,71588,-54.62914276123047
1686544107.243704,71684,-40.09648895263672
1686544341.2171493,71780,-44.88245391845703
1686544577.4697256,71876,-54.80568313598633
1686544811.9463696,71972,-40.293556213378906
1686545044.271867,72068,-53.954933166503906
1686545273.869178,72164,-38.968624114990234
1686545507.952238,72260,-66.1050033569336
1686545742.004954,72356,-41.045013427734375
1686545976.6504827,72452,-35.34109878540039
1686546210.4037218,72548,-42.98393249511719
1686546441.4511242,72644,-25.38553237915039
1686546676.4426775,72740,-31.092815399169922
1686546911.2501585,72836,-42.794105529785156
1686547145.1601698,72932,-54.746681213378906
1686547373.1385734,73028,-48.209957122802734
1686547599.084699,73124,-51.3653564453125
1686547833.9754293,73220,-48.30619430541992
1686548070.0411012,73316,-44.31230163574219
1686548303.727476,73412,-69.9992446899414
1686548539.1095324,73508,-48.98759841918945
1686548780.5086262,73604,-60.743385314941406
1686549018.995649,73700,-47.65267562866211
1686549249.904736,73796,-51.00782012939453
1686549485.690836,73892,-48.159969329833984
1686549718.9288929,73988,-59.82407760620117
1686549953.6409101,74084,-62.003135681152344
1686550186.888445,74180,-53.84845733642578
1686550416.9031932,74276,-42.47211456298828
1686550652.5576694,74372,-43.406734466552734
1686550884.8977072,74468,-35.033931732177734
1686551119.5379076,74564,-55.16969680786133
1686551352.7117727,74660,-48.29697799682617
1686551582.0999777,74756,-26.400104522705078
1686551815.1645079,74852,-52.252925872802734
1686552048.466069,74948,-34.12739181518555
1686552282.2826724,75044,-69.86009979248047
1686552516.7328572,75140,-45.64765167236328
1686552750.2740772,75236,-44.848445892333984
1686552984.1524787,75332,-54.18423080444336
1686553219.0943182,75428,-45.58606719970703
1686553453.5774612,75524,-50.92120361328125
1686553688.6129253,75620,-71.2264633178711
1686553922.644437,75716,-42.14248275756836
1686554153.2104366,75812,-39.575931549072266
1686554389.2771728,75908,-76.8099594116211
1686554624.743527,76004,-31.65784454345703
1686554859.7665827,76100,-56.53734588623047
1686555091.4971766,76196,-35.370513916015625
1686555326.7933722,76292,-56.449222564697266
1686555561.0838447,76388,-64.47323608398438
1686555796.1047947,76484,-58.47223663330078
1686556024.2641528,76580,-55.40283203125
1686556256.330803,76676,-21.456130981445312
1686556485.9323723,76772,-53.27447509765625
1686556721.554746,76868,-60.886085510253906
1686556956.40077,76964,-49.246273040771484
1686557192.1755638,77060,-46.4039421081543
1686557431.451146,77156,-60.98422622680664
1686557664.6066437,77252,-39.55552291870117
1686557898.9979537,77348,-70.42352294921875
1686558132.9211483,77444,-70.80154418945312
1686558363.4570274,77540,-42.87320327758789
1686558603.535899,77636,-33.49424362182617
1686558842.2858818,77732,-48.992610931396484
1686559073.0815866,77828,-32.2276611328125
1686559305.2649055,77924,-41.34518051147461
1686559540.3300958,78020,-43.6956672668457
1686559771.5428033,78116,-58.713104248046875
1686560006.3262112,78212,-46.84004211425781
1686560242.5245094,78308,-51.118892669677734
1686560471.5321028,78404,-38.45735168457031
1686560710.8508554,78500,-56.69100570678711
1686560940.645819,78596,-43.15348434448242
1686561176.2708018,78692,-72.44947052001953
1686561411.2578294,78788,-62.505043029785156
1686561649.0318632,78884,-57.507869720458984
1686561878.1456647,78980,-51.462379455566406
1686562112.7136438,79076,-56.57923126220703
1686562347.0025334,79172,-50.40913391113281
1686562580.5830276,79268,-50.11061096191406
1686562815.8806906,79364,-46.01459503173828
1686563059.4743695,79460,-37.125083923339844
1686563288.607441,79556,-50.79639434814453
1686563522.0742073,79652,-39.175357818603516
1686563754.0660586,79748,-60.39969253540039
1686563990.6300578,79844,-46.686222076416016
1686564225.9051254,79940,-36.004241943359375
1686564459.072455,80036,-48.27573013305664
