Wall time,Step,Value
1686416244.6378942,20063,-187.0175323486328
1686416474.1239727,20159,-188.8306884765625
1686416709.4346638,20255,-157.3159942626953
1686416945.4326146,20351,-172.43612670898438
1686417177.241538,20447,-176.7271728515625
1686417413.2702703,20543,-170.56082153320312
1686417648.4091573,20639,-164.66864013671875
1686417883.8266013,20735,-180.90829467773438
1686418112.0098152,20831,-217.5459747314453
1686418346.8814642,20927,-172.64308166503906
1686418581.2470708,21023,-152.75332641601562
1686418817.2912092,21119,-145.47816467285156
1686419053.2788467,21215,-145.59060668945312
1686419283.9545789,21311,-202.47085571289062
1686419515.5718873,21407,-176.96287536621094
1686419750.3076363,21503,-220.7496795654297
1686419986.7326567,21599,-217.27134704589844
1686420221.2386198,21695,-248.41983032226562
1686420461.3030345,21791,-220.84463500976562
1686420698.7091694,21887,-213.86634826660156
1686420931.8755984,21983,-163.84994506835938
1686421168.9388447,22079,-189.665283203125
1686421405.3954957,22175,-193.21990966796875
1686421639.3580196,22271,-177.52867126464844
1686421875.9577165,22367,-289.9084167480469
1686422105.6619694,22463,-222.5899658203125
1686422344.470133,22559,-259.886962890625
1686422581.215773,22655,-262.2968444824219
1686422819.814354,22751,-258.2576599121094
1686423058.2126722,22847,-256.1176452636719
1686423271.607114,22934,-235.08450317382812
1686423503.4657314,23030,-274.9010009765625
1686423743.9027183,23126,-257.019287109375
1686423960.438161,23213,-244.27574157714844
1686424212.1526322,23309,-276.2330627441406
1686424447.2229118,23405,-298.0818176269531
1686424687.9054668,23501,-268.2476806640625
1686424924.9162824,23597,-272.68463134765625
1686425160.7068973,23693,-270.3630676269531
1686425401.8674402,23789,-238.6907196044922
1686425642.339346,23885,-266.4407043457031
1686425885.7866716,23981,-212.51580810546875
1686426123.180286,24077,-221.0320587158203
1686426368.555422,24173,-182.2067108154297
1686426613.7868412,24269,-234.98150634765625
1686426856.7968345,24365,-175.46800231933594
1686427093.6021378,24461,-232.9700164794922
1686427341.6005762,24557,-233.6561737060547
1686427581.5727062,24653,-256.2384338378906
1686427818.2209907,24749,-208.16575622558594
1686428066.333733,24845,-260.76873779296875
1686428311.120437,24941,-224.5478057861328
1686428550.6130838,25037,-251.62103271484375
1686428800.8379216,25133,-216.90646362304688
1686429043.3291667,25229,-200.2978973388672
1686429286.8376138,25325,-194.22470092773438
1686429526.5326836,25421,-221.14981079101562
1686429768.2481003,25517,-172.73611450195312
1686430002.9168613,25613,-224.8752899169922
1686430238.3042305,25709,-232.191162109375
1686430477.0404637,25805,-169.89895629882812
1686430714.3686512,25901,-159.7498779296875
1686430952.45605,25997,-184.0761260986328
1686431190.3428037,26093,-191.39479064941406
1686431425.1784868,26189,-178.65943908691406
1686431660.2441554,26285,-172.8233642578125
1686431898.8401175,26381,-174.69097900390625
1686432138.4002316,26477,-189.1019744873047
1686432378.6520226,26573,-154.5538787841797
1686432621.2221124,26669,-181.54676818847656
1686432865.0022614,26765,-160.79388427734375
1686433106.9262693,26861,-174.63265991210938
1686433348.1441762,26957,-180.76255798339844
1686433594.582798,27053,-170.84133911132812
1686433838.3302295,27149,-173.34033203125
1686434082.357965,27245,-147.12091064453125
1686434329.9078481,27341,-183.31260681152344
1686434572.5552258,27437,-174.44590759277344
1686434812.631076,27533,-164.4044189453125
1686435053.3091438,27629,-156.61903381347656
1686435296.0250938,27725,-140.83065795898438
1686435541.1045322,27821,-148.02931213378906
1686435781.8959436,27917,-164.2108917236328
1686436023.7160242,28013,-163.79820251464844
1686436258.7140026,28109,-179.64501953125
1686436500.6679022,28205,-169.6468963623047
1686436743.5522325,28301,-147.01629638671875
1686436985.8335702,28397,-171.20213317871094
1686437227.875996,28493,-137.34458923339844
1686437461.984851,28589,-154.14865112304688
1686437698.7710867,28685,-154.89242553710938
1686437930.1431692,28781,-118.1361083984375
1686438162.4153643,28877,-120.05450439453125
1686438401.1046145,28973,-125.59082794189453
1686438636.6336813,29069,-116.51712036132812
1686438871.112153,29165,-111.06614685058594
1686439109.8509312,29261,-146.90040588378906
1686439348.3022232,29357,-143.7669677734375
1686439581.3424692,29453,-154.27938842773438
1686439820.4140928,29549,-131.76885986328125
1686440059.7225668,29645,-120.40167999267578
1686440298.8534746,29741,-99.02692413330078
1686440531.8756206,29837,-100.72050476074219
1686440767.4566376,29933,-109.39097595214844
1686441001.7567163,30029,-114.2632827758789
