Wall time,Step,Value
1686589373.6096094,90203,-45.316349029541016
1686589607.8024726,90299,-45.15755081176758
1686589842.966918,90395,-37.90230941772461
1686590082.1810112,90491,-15.697668075561523
1686590321.7115915,90587,-38.334232330322266
1686590557.808158,90683,-28.967910766601562
1686590788.4139113,90779,-42.5086555480957
1686591022.5399196,90875,-57.058311462402344
1686591264.300357,90971,-43.85271072387695
1686591496.37083,91067,-38.201351165771484
1686591729.7477865,91163,-45.57632827758789
1686591972.1481388,91259,-42.67012405395508
1686592208.3360522,91355,-27.75589942932129
1686592445.0383391,91451,-38.953773498535156
1686592679.5414937,91547,-44.63304901123047
1686592914.457409,91643,-61.344295501708984
1686593149.9846423,91739,-86.96426391601562
1686593382.727535,91835,-40.22508239746094
1686593622.6833572,91931,-49.637603759765625
1686593862.2643783,92027,-52.09380340576172
1686594100.2836726,92123,-47.71517562866211
1686594338.8957334,92219,-30.87031364440918
1686594582.8329887,92315,-42.648677825927734
1686594812.6816885,92411,-48.623382568359375
1686595051.7394059,92507,-63.76274108886719
1686595293.5765288,92603,-35.28498458862305
1686595529.2533858,92699,-38.6017951965332
1686595771.7404,92795,-59.99175262451172
1686596019.0490043,92891,-44.869354248046875
1686596249.6666508,92987,-58.184078216552734
1686596490.789856,93083,-50.89431381225586
1686596722.6333787,93179,-65.53926086425781
1686596958.8103313,93275,-52.835052490234375
1686597193.1174982,93371,-43.58633804321289
1686597433.6898363,93467,-49.90217971801758
1686597669.5623455,93563,-40.10886764526367
1686597904.2023852,93659,-60.49456024169922
1686598137.1751075,93755,-39.12643814086914
1686598373.4961016,93851,-32.67295455932617
1686598608.1483831,93947,-49.60111618041992
1686598843.7604835,94043,-41.567012786865234
1686599079.681186,94139,-49.08449935913086
1686599317.7245543,94235,-54.48344039916992
1686599550.7998781,94331,-55.61722946166992
1686599782.7090394,94427,-62.75841522216797
1686600019.9213037,94523,-56.695831298828125
1686600257.8731391,94619,-46.91204071044922
1686600494.2272794,94715,-30.551546096801758
1686600730.6034884,94811,-65.9225082397461
1686600964.9525192,94907,-61.644012451171875
1686601201.5013168,95003,-49.46341323852539
1686601426.2343159,95090,-64.41450500488281
1686601674.13899,95186,-38.172969818115234
1686601906.2284627,95282,-31.304418563842773
1686602140.756348,95378,-46.36534118652344
1686602370.208974,95474,-43.37675094604492
1686602605.5225677,95570,-40.5365104675293
1686602838.9503608,95666,-21.12506103515625
1686603072.2134671,95762,-40.283226013183594
1686603304.9277408,95858,-39.365562438964844
1686603536.9035158,95954,-44.70976638793945
1686603752.9540393,96041,-61.34590148925781
1686603989.3423882,96137,-28.116619110107422
1686604220.1774743,96233,-44.89058303833008
1686604454.2778718,96329,-49.14849853515625
1686604686.769831,96425,-41.112632751464844
1686604924.0894508,96521,-62.51658630371094
1686605163.5257459,96617,-50.647335052490234
1686605402.6876497,96713,-68.47454071044922
1686605636.214848,96809,-55.06206130981445
1686605873.5012012,96905,-54.802825927734375
1686606108.6567113,97001,-52.973323822021484
1686606349.865624,97097,-39.76552963256836
1686606589.4181066,97193,-22.928255081176758
1686606830.9366782,97289,-37.781375885009766
1686607060.6123803,97385,-24.574913024902344
1686607297.3261154,97481,-21.798830032348633
1686607527.6542146,97577,-71.76182556152344
1686607763.418386,97673,-43.20171356201172
1686607998.2089546,97769,-36.99200439453125
1686608228.4691405,97865,-38.566951751708984
1686608461.2695758,97961,-66.63030242919922
1686608693.1231608,98057,-40.06057357788086
1686608926.0172892,98153,-46.476280212402344
1686609155.9249647,98249,-78.30660247802734
1686609387.307504,98345,-38.99064254760742
1686609619.4893801,98441,-45.230316162109375
1686609848.0899358,98537,-40.40456771850586
1686610086.1801848,98633,-57.234947204589844
1686610318.9723332,98729,-37.80875778198242
1686610551.8285716,98825,-56.43333053588867
1686610791.215945,98921,-51.03371047973633
1686611025.7048628,99017,-61.366600036621094
1686611258.337393,99113,-53.227901458740234
1686611493.9765427,99209,-45.75838851928711
1686611732.2189558,99305,-32.617862701416016
1686611970.7537346,99401,-71.50968933105469
1686612205.3262293,99497,-38.57438659667969
1686612440.467135,99593,-41.42579650878906
1686612670.5258665,99689,-44.31290817260742
1686612902.9976866,99785,-42.7255744934082
1686613135.8552904,99881,-40.85993194580078
1686613369.558497,99977,-44.17133712768555
1686613602.2624712,100073,-41.1312370300293
