Wall time,Step,Value
1686441240.8896408,30125,-98.52140045166016
1686441481.7728806,30221,-108.3228988647461
1686441714.2550728,30317,-92.91958618164062
1686441949.2719834,30413,-97.15463256835938
1686442188.4908533,30509,-111.29345703125
1686442427.734428,30605,-99.36045837402344
1686442667.6943166,30701,-107.36641693115234
1686442906.604474,30797,-101.48654174804688
1686443140.951701,30893,-114.66033172607422
1686443373.1784534,30989,-84.75
1686443607.4551313,31085,-93.6928939819336
1686443847.9870312,31181,-82.16503143310547
1686444086.8516288,31277,-78.83224487304688
1686444319.2619913,31373,-92.00603485107422
1686444555.5421033,31469,-105.09480285644531
1686444788.6104765,31565,-107.61884307861328
1686445028.667243,31661,-111.75379180908203
1686445269.244871,31757,-129.3141632080078
1686445507.7561462,31853,-108.55892181396484
1686445746.657871,31949,-107.63488006591797
1686445981.3230195,32045,-100.81375122070312
1686446216.476927,32141,-97.03736877441406
1686446455.098284,32237,-98.47493743896484
1686446689.0768974,32333,-74.86913299560547
1686446927.2899203,32429,-89.91202545166016
1686447168.638208,32525,-74.99195861816406
1686447407.5859535,32621,-81.0363540649414
1686447646.0631456,32717,-69.83683776855469
1686447884.2293472,32813,-65.77333068847656
1686448124.084873,32909,-86.14493560791016
1686448363.3451288,33005,-83.65043640136719
1686448600.433593,33101,-105.84518432617188
1686448839.688911,33197,-86.629150390625
1686449081.3778758,33293,-83.22909545898438
1686449320.0132508,33389,-74.9335708618164
1686449556.1702895,33485,-98.39125061035156
1686449793.7467513,33581,-68.29979705810547
1686450031.2101963,33677,-77.7541732788086
1686450269.7756934,33773,-89.86702728271484
1686450507.6651967,33869,-85.01881408691406
1686450740.8243463,33965,-90.72035217285156
1686450981.6246436,34061,-95.1174087524414
1686451221.7053943,34157,-84.23161315917969
1686451461.5345426,34253,-85.87711334228516
1686451704.2310703,34349,-101.24744415283203
1686451938.4984612,34445,-85.29114532470703
1686452177.3867044,34541,-85.95637512207031
1686452412.4548037,34637,-66.20985412597656
1686452649.7704785,34733,-98.95857238769531
1686452889.2987766,34829,-82.55656433105469
1686453129.7351534,34925,-85.30706787109375
1686453368.9361145,35021,-131.5875701904297
1686453608.2975152,35117,-125.29328918457031
1686453845.9199026,35213,-75.9790267944336
1686454084.7799656,35309,-83.47309112548828
1686454326.008682,35405,-120.22476959228516
1686454565.6444836,35501,-146.61294555664062
1686454799.564012,35597,-164.84503173828125
1686455040.3582911,35693,-179.96946716308594
1686455273.2206867,35789,-147.14566040039062
1686455505.628158,35885,-166.5706787109375
1686455740.3830945,35981,-164.84515380859375
1686455976.9344056,36077,-118.16895294189453
1686456211.686416,36173,-161.30389404296875
1686456446.7047894,36269,-177.82901000976562
1686456682.0965004,36365,-136.000244140625
1686456918.3754482,36461,-122.6916275024414
1686457154.394484,36557,-117.27437591552734
1686457397.8827484,36653,-120.27687072753906
1686457652.5103705,36749,-121.4494857788086
1686457888.5838468,36845,-116.70001220703125
1686458124.0291224,36941,-120.30258178710938
1686458358.476562,37037,-101.64903259277344
1686458592.9657834,37133,-123.12384033203125
1686458823.4994807,37229,-111.5992431640625
1686459057.964613,37325,-163.42230224609375
1686459292.2137647,37421,-176.08836364746094
1686459525.2391956,37517,-178.2372283935547
1686459758.667456,37613,-195.69566345214844
1686459995.3678277,37709,-208.77902221679688
1686460230.0989375,37805,-184.25767517089844
1686460458.0934737,37901,-157.52931213378906
1686460692.6124952,37997,-143.0777587890625
1686460927.2750359,38093,-114.95954132080078
1686461162.9606857,38189,-106.71150207519531
1686461397.5811856,38285,-149.1283721923828
1686461632.5100942,38381,-119.14739990234375
1686461868.1202226,38477,-137.16319274902344
1686462103.1895244,38573,-129.89088439941406
1686462331.7225857,38669,-125.3480224609375
1686462563.5530488,38765,-122.05805969238281
1686462795.4674566,38861,-136.09849548339844
1686463028.3131812,38957,-136.3690185546875
1686463264.7571342,39053,-132.84942626953125
1686463498.5674143,39149,-128.27467346191406
1686463734.473957,39245,-119.05299377441406
1686463968.8225243,39341,-163.26351928710938
1686464205.291382,39437,-131.13754272460938
1686464440.20028,39533,-114.38461303710938
1686464675.8599477,39629,-124.68824005126953
1686464905.9157686,39725,-110.79756164550781
1686465139.866123,39821,-106.40282440185547
1686465373.6759233,39917,-85.31991577148438
1686465608.3594472,40013,-118.30525207519531
