Wall time,Step,Value
1686490399.5446498,50093,-69.93822479248047
1686490636.26513,50189,-101.41887664794922
1686490872.7105522,50285,-59.15060043334961
1686491107.1595325,50381,-60.25986862182617
1686491343.2676022,50477,-42.30824279785156
1686491576.0015273,50573,-62.0803108215332
1686491808.6038299,50669,-62.59846878051758
1686492044.234151,50765,-44.950225830078125
1686492281.5876882,50861,-71.51289367675781
1686492517.7979186,50957,-60.56226348876953
1686492752.9249587,51053,-72.47776794433594
1686492984.5100732,51149,-49.96739959716797
1686493214.7372615,51245,-72.6246566772461
1686493456.5236835,51341,-79.95149993896484
1686493695.8924105,51437,-64.63237762451172
1686493929.3559966,51533,-63.45981979370117
1686494167.3484058,51629,-47.437156677246094
1686494403.753954,51725,-56.99372100830078
1686494640.1345053,51821,-69.16503143310547
1686494876.2040055,51917,-84.98371887207031
1686495112.6921763,52013,-65.24043273925781
1686495342.7876177,52109,-76.98512268066406
1686495572.728496,52205,-62.59679412841797
1686495808.8639674,52301,-64.98263549804688
1686496038.9820435,52397,-77.91038513183594
1686496268.0473473,52493,-79.75502014160156
1686496501.9636283,52589,-55.36780548095703
1686496733.5050197,52685,-68.30784606933594
1686496969.369256,52781,-62.15068435668945
1686497204.866872,52877,-64.83348846435547
1686497441.1724503,52973,-64.6915283203125
1686497672.9214218,53069,-73.05866241455078
1686497910.7650647,53165,-73.26497650146484
1686498143.885725,53261,-48.2678108215332
1686498381.6422198,53357,-67.5262451171875
1686498616.3818054,53453,-54.798927307128906
1686498858.3974123,53549,-51.50156021118164
1686499094.706433,53645,-70.39244079589844
1686499331.1674147,53741,-55.86526107788086
1686499567.7622561,53837,-72.27486419677734
1686499801.8665087,53933,-53.019710540771484
1686500038.0023646,54029,-46.0542106628418
1686500273.968118,54125,-48.50477981567383
1686500502.5694568,54221,-57.70826721191406
1686500736.119196,54317,-81.29348754882812
1686500966.4244752,54413,-54.05271530151367
1686501200.6232884,54509,-55.00523376464844
1686501435.27215,54605,-79.67093658447266
1686501669.1406035,54701,-47.59965896606445
1686501904.5855038,54797,-76.16687774658203
1686502138.9848382,54893,-56.21990966796875
1686502374.6572506,54989,-46.297298431396484
1686502610.1870217,55085,-39.80276107788086
1686502843.4548645,55181,-41.12470245361328
1686503072.9046009,55277,-54.65625
1686503310.0182092,55373,-51.51430892944336
1686503540.251625,55469,-74.51100158691406
1686503777.6121101,55565,-48.271915435791016
1686504012.5342033,55661,-53.04617691040039
1686504246.9810965,55757,-52.80992889404297
1686504483.3435898,55853,-60.0525016784668
1686504715.630874,55949,-96.04004669189453
1686504960.2138987,56045,-62.926063537597656
1686505193.052705,56141,-77.12565612792969
1686505427.2031286,56237,-81.21139526367188
1686505664.5570767,56333,-81.39701843261719
1686505899.4021325,56429,-57.69321823120117
1686506132.891402,56525,-73.6432876586914
1686506368.8516212,56621,-83.9241714477539
1686506605.5145555,56717,-81.12765502929688
1686506841.109024,56813,-65.55656433105469
1686507074.7425725,56909,-79.2330093383789
1686507308.8796973,57005,-51.71763610839844
1686507543.1243181,57101,-82.83589935302734
1686507776.291879,57197,-70.27894592285156
1686508006.8576677,57293,-68.64209747314453
1686508242.6993244,57389,-50.3234977722168
1686508476.574194,57485,-67.11917877197266
1686508713.2538807,57581,-47.7034797668457
1686508950.824678,57677,-54.05419921875
1686509187.6435943,57773,-38.86700439453125
1686509419.7939627,57869,-65.11917877197266
1686509654.8812954,57965,-37.45596694946289
1686509887.659044,58061,-73.59955596923828
1686510124.0436158,58157,-57.22940444946289
1686510362.3015435,58253,-56.35434341430664
1686510597.816319,58349,-65.28462219238281
1686510828.35803,58445,-75.78182220458984
1686511063.6906426,58541,-56.12009048461914
1686511297.8732352,58637,-89.74632263183594
1686511530.3328776,58733,-75.81612396240234
1686511759.4153357,58829,-58.87946701049805
1686511995.5750012,58925,-50.77574920654297
1686512230.3855283,59021,-42.973228454589844
1686512466.6974518,59117,-36.07268524169922
1686512701.1477776,59213,-77.4399642944336
1686512940.036007,59309,-38.57048034667969
1686513183.7608998,59405,-34.7315673828125
1686513425.5523562,59501,-45.3968620300293
1686513667.7560356,59597,-32.45276641845703
1686513904.1584053,59693,-36.45522689819336
1686514141.4322622,59789,-54.2333984375
1686514382.750356,59885,-81.04254150390625
1686514623.1851134,59981,-53.679168701171875
